,ID,용강동,대흥동,염리동,신수동,서교동,합정동,망원1동,망원2동,연남동,성산1동,성산2동,상암동,도화동,서강동,공덕동,아현동
0,한식,,,,,,,,,,,,,16104043.194174757,,,
1,중식,,,,,,,,,,,,,72721673.50877193,,,
2,일식,,,,,,,,,,,,,33501414.644444443,,,
3,양식,,,,,,,,,,,,,8728026.041666666,,,
4,제과점,,,,,,,,,,,,,5772009.914285715,,,
5,패스트푸드점,,,,,,,,,,,,,,,,
6,치킨전문점,,,,,,,,,,,,,,,,
7,분식,,,,,,,,,,,,,19215887.29411765,,,
8,호프,,,,,,,,,,,,,11683099.519736841,,,
9,커피,,,,,,,,,,,,,14749460.53898305,,,
0,한식,,,,,,,,,,,,,,16104043.194174757,,
1,중식,,,,,,,,,,,,,,72721673.50877193,,
2,일식,,,,,,,,,,,,,,33501414.644444443,,
3,양식,,,,,,,,,,,,,,8728026.041666666,,
4,제과점,,,,,,,,,,,,,,5772009.914285715,,
5,패스트푸드점,,,,,,,,,,,,,,,,
6,치킨전문점,,,,,,,,,,,,,,,,
7,분식,,,,,,,,,,,,,,19215887.29411765,,
8,호프,,,,,,,,,,,,,,11683099.519736841,,
9,커피,,,,,,,,,,,,,,14749460.53898305,,
0,한식,,,,,,,,,,,,,,,16104043.194174757,
1,중식,,,,,,,,,,,,,,,72721673.50877193,
2,일식,,,,,,,,,,,,,,,33501414.644444443,
3,양식,,,,,,,,,,,,,,,8728026.041666666,
4,제과점,,,,,,,,,,,,,,,5772009.914285715,
5,패스트푸드점,,,,,,,,,,,,,,,,
6,치킨전문점,,,,,,,,,,,,,,,,
7,분식,,,,,,,,,,,,,,,19215887.29411765,
8,호프,,,,,,,,,,,,,,,11683099.519736841,
9,커피,,,,,,,,,,,,,,,14749460.53898305,
0,한식,,,,,,,,,,,,,,,,16104043.194174757
1,중식,,,,,,,,,,,,,,,,72721673.50877193
2,일식,,,,,,,,,,,,,,,,33501414.644444443
3,양식,,,,,,,,,,,,,,,,8728026.041666666
4,제과점,,,,,,,,,,,,,,,,5772009.914285715
5,패스트푸드점,,,,,,,,,,,,,,,,
6,치킨전문점,,,,,,,,,,,,,,,,
7,분식,,,,,,,,,,,,,,,,19215887.29411765
8,호프,,,,,,,,,,,,,,,,11683099.519736841
9,커피,,,,,,,,,,,,,,,,14749460.53898305
